video,GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/153/e5e6c82c-8ee5-d1f5-7050-d5beda901c00,22100079,153,2,Layup Shot,2,4,-0.00012346055359102547,-2.7435678575783438e-05,0,30.10.2021,DET,ORL,2021-22,R,11:42
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/188/2c14a2cb-c39b-0551-4551-8b38eab8ecc5,22100079,188,2,Layup Shot,2,2,6.310206072430191e-05,-1.0974271430313376e-05,0,30.10.2021,DET,ORL,2021-22,R,08:58
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/305/4fbb1358-d090-ae1b-8ddd-f0f4088420e7,22100079,305,2,Floating Jump shot,2,5,-0.00011522985001829045,-8.779417144250701e-05,0,30.10.2021,DET,ORL,2021-22,R,02:21
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/342/7c5faab0-0016-5901-c0cb-98f6edc50d40,22100079,342,2,Driving Reverse Layup Shot,2,1,4.6640653578831844e-05,-5.487135715156688e-06,1,30.10.2021,DET,ORL,2021-22,R,00:06
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/383/ed60c86e-50f0-8b0a-3ab3-7a0364cd0e8b,22100079,383,3,Driving Layup Shot,2,2,-5.761492500914522e-05,-1.3717839287891719e-05,1,30.10.2021,DET,ORL,2021-22,R,09:50
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/391/6b17a9b7-0bc2-9d8f-2b62-e6698bed37e3,22100079,391,3,Jump Shot,3,26,-0.0002194854286062675,-0.0006886355322521643,1,30.10.2021,DET,ORL,2021-22,R,09:02
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/424/d47a7055-c3bd-34aa-1ac1-86f5151ab729,22100079,424,3,Jump Shot,3,26,-0.0003923302036337032,-0.000598097792952079,1,30.10.2021,DET,ORL,2021-22,R,06:35
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/436/33591810-4f04-3a47-4b60-7d3e846afa30,22100079,436,3,Floating Jump shot,2,3,1.3717839287891719e-05,-0.00010151201073039872,1,30.10.2021,DET,ORL,2021-22,R,05:47
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/565/b49e82d7-52cb-9b67-b844-2c7224d99264,22100079,565,4,Jump Shot,3,25,0.0004499451286428484,-0.0005514571393732471,0,30.10.2021,DET,ORL,2021-22,R,08:31
https://videos.nba.com/nba/pbp/media/2021/10/30/0022100079/591/3a3ea27b-5f9c-92c2-6b5d-e2a2a5574af9,22100079,591,4,Jump Shot,2,9,-0.00014540909645165224,-0.00022771613217900254,0,30.10.2021,DET,ORL,2021-22,R,05:30
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/23/3fba28ee-26d7-70eb-eb81-375cc6619c7a,22100101,23,1,Jump Shot,3,22,-0.0006118156322399707,-3.566638214851847e-05,0,01.11.2021,MIN,ORL,2021-22,R,10:40
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/36/9ad3f554-40b2-50ea-297d-4c29da844998,22100101,36,1,Driving Layup Shot,2,5,-7.681990001219364e-05,-0.00012346055359102547,1,01.11.2021,MIN,ORL,2021-22,R,09:37
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/51/66322b0e-e127-7f32-063c-1f06c9c17808,22100101,51,1,Jump Shot,3,22,-0.0006173027679551274,-2.1948542860626752e-05,0,01.11.2021,MIN,ORL,2021-22,R,08:31
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/86/483a97b2-195a-ae3e-952b-7d43a59e4f3e,22100101,86,1,Jump Shot,3,22,0.0006227899036702841,-2.4692110718205095e-05,1,01.11.2021,MIN,ORL,2021-22,R,06:20
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/276/cfae2453-b02b-b105-2746-bd0971265996,22100101,276,2,Driving Layup Shot,2,1,-5.487135715156688e-06,-5.212778929398854e-05,0,01.11.2021,MIN,ORL,2021-22,R,06:40
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/327/d62e5683-9bea-d9c3-445d-b3c543f37162,22100101,327,2,Jump Shot,3,24,0.0005020729179368369,-0.0004609194000731618,1,01.11.2021,MIN,ORL,2021-22,R,02:39
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/335/4bd2786b-cac6-bc67-f72a-484574227e6e,22100101,335,2,Jump Shot,3,22,0.0006282770393854408,-4.6640653578831844e-05,1,01.11.2021,MIN,ORL,2021-22,R,01:35
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/392/5b37d5fa-c926-b2d8-cd1b-b8cc00c5f9a5,22100101,392,3,Reverse Layup Shot,2,1,3.566638214851847e-05,-5.487135715156688e-06,0,01.11.2021,MIN,ORL,2021-22,R,10:11
